Date,Close
2/14/2018,54.9
2/15/2018,55.99
2/16/2018,56.29
2/20/2018,54.98
2/21/2018,54.55
2/22/2018,54.57
2/23/2018,54.87
2/26/2018,56.06
2/27/2018,54.72
2/28/2018,54.22
3/1/2018,53.7
3/2/2018,54.36
3/5/2018,54.4
3/6/2018,54.3
3/7/2018,54.47
3/8/2018,54.76
3/9/2018,55.14
3/12/2018,55.36
3/13/2018,55.37
3/14/2018,54.8
3/15/2018,55.25
3/16/2018,55.67
3/19/2018,54.63
3/20/2018,54.64
3/21/2018,54.69
3/22/2018,54.12
3/23/2018,53.41
3/26/2018,54.04
3/27/2018,53.75
3/28/2018,55.09
3/29/2018,54.47
4/2/2018,53.27
4/3/2018,54.09
4/4/2018,54.54
4/5/2018,54.53
4/6/2018,53.36
4/9/2018,56.16
4/10/2018,56.49
4/11/2018,56.2
4/12/2018,56.74
4/13/2018,57.17
4/16/2018,58.65
4/17/2018,59.27
4/18/2018,58.92
4/19/2018,58.64
4/20/2018,58.83
4/23/2018,60.25
4/24/2018,60.09
4/25/2018,59.63
4/26/2018,59.41
4/27/2018,59.47
4/30/2018,58.87
5/1/2018,57.98
5/2/2018,57.3
5/3/2018,57.53
5/4/2018,57.75
5/7/2018,57.38
5/8/2018,56.76
5/9/2018,57.95
5/10/2018,58.06
5/11/2018,59.69
5/14/2018,59.68
5/15/2018,59.2
5/16/2018,59.75
5/17/2018,59.07
5/18/2018,59.14
5/21/2018,58.57
5/22/2018,58.45
5/23/2018,59.17
5/24/2018,59.13
5/25/2018,59.09
5/29/2018,58.4
5/30/2018,59.72
5/31/2018,59.72
6/1/2018,60.56
6/4/2018,62.02
6/5/2018,61.39
6/6/2018,61.93
6/7/2018,61.99
6/8/2018,62.58
6/11/2018,62.33
6/12/2018,62.44
6/13/2018,62.59
6/14/2018,61.56
6/15/2018,62.03
6/18/2018,60.99
6/19/2018,61.03
6/20/2018,61.28
6/21/2018,61.18
6/22/2018,61.47
6/25/2018,61.08
6/26/2018,60.72
6/27/2018,59.88
6/28/2018,60.3
6/29/2018,60.7
7/2/2018,60.46
7/3/2018,60.71
7/5/2018,61.64
7/6/2018,62.2
7/9/2018,62.02
7/10/2018,62.3
7/11/2018,61.9
7/12/2018,62.66
7/13/2018,62.89
7/16/2018,62.59
7/17/2018,62.53
7/18/2018,62.94
7/19/2018,62.51
7/20/2018,62.52
7/23/2018,62.69
7/24/2018,63.42
7/25/2018,64.49
7/26/2018,64.01
7/27/2018,63.49
7/30/2018,64.81
7/31/2018,65.87
8/1/2018,65.49
8/2/2018,65.22
8/3/2018,65.93
8/6/2018,66.22
8/7/2018,66.58
8/8/2018,66.69
8/9/2018,66
8/10/2018,66.07
8/13/2018,66.72
8/14/2018,66.46
8/15/2018,67.37
8/16/2018,68.85
8/17/2018,69.06
8/20/2018,70.17
8/21/2018,69.17
8/22/2018,69.04
8/23/2018,68.97
8/24/2018,69.04
8/27/2018,68.99
8/28/2018,68.63
8/29/2018,68.81
8/30/2018,68.54
8/31/2018,68.59
9/4/2018,67.95
9/5/2018,68.62
9/6/2018,69.38
9/7/2018,69.67
9/10/2018,69.56
9/11/2018,69.08
9/12/2018,69.86
9/13/2018,70.83
9/14/2018,69.98
9/17/2018,70.42
9/18/2018,70.42
9/19/2018,69.98
9/20/2018,70.78
9/21/2018,71.1
9/24/2018,70.78
9/25/2018,70.65
9/26/2018,70.33
9/27/2018,70.72
9/28/2018,70.94
10/1/2018,71.53
10/2/2018,71.75
10/3/2018,71.37
10/4/2018,71.22
10/5/2018,71.03
10/8/2018,71.46
10/9/2018,72.34
10/10/2018,70.45
10/11/2018,68.37
10/12/2018,69.81
10/15/2018,69.46
10/16/2018,71.22
10/17/2018,71.82
10/18/2018,72.21
10/19/2018,72.35
10/22/2018,72.57
10/23/2018,72.1
10/24/2018,70.54
10/25/2018,69.96
10/26/2018,70.4
10/29/2018,71.45
10/30/2018,72.87
10/31/2018,73.61
11/1/2018,73.12
11/2/2018,72.27
11/5/2018,73.12
11/6/2018,73.31
11/7/2018,75.08
11/8/2018,75.48
11/9/2018,74.86
11/12/2018,74.69
11/13/2018,74.61
11/14/2018,74.09
11/15/2018,74.84
11/16/2018,76.06
11/19/2018,76.35
11/20/2018,74.78
11/21/2018,74.79
11/23/2018,74.67
11/26/2018,75.44
11/27/2018,76.34
11/28/2018,77.23
11/29/2018,77.91
11/30/2018,79.34
12/3/2018,79.22
12/4/2018,78.21
12/6/2018,78.37
12/7/2018,76.72
12/10/2018,77.42
12/11/2018,77.11
12/12/2018,78.01
12/13/2018,79.01
12/14/2018,76.48
12/17/2018,75.23
12/18/2018,74.33
12/19/2018,73.77
12/20/2018,73.49
12/21/2018,72.9
12/24/2018,71.15
12/26/2018,74
12/27/2018,75.38
12/28/2018,75.37
12/31/2018,76.41
1/2/2019,75.59
1/3/2019,74.04
1/4/2019,76.27
1/7/2019,75.43
1/8/2019,75.99
1/9/2019,75.41
1/10/2019,74.48
1/11/2019,74.9
1/14/2019,73.37
1/15/2019,74.5
1/16/2019,74.61
1/17/2019,75.6
1/18/2019,75.87
1/22/2019,75.83
1/23/2019,75.44
1/24/2019,73.17
1/25/2019,72.95
1/28/2019,72.92
1/29/2019,73.23
1/30/2019,73.37
1/31/2019,74.43
2/1/2019,76.45
2/4/2019,76.87
2/5/2019,77.15
2/6/2019,77.39
2/7/2019,76.82
2/8/2019,77.52
2/11/2019,76.71
2/12/2019,78.52
2/13/2019,79.02
2/14/2019,78.94
2/15/2019,79.81
2/19/2019,79.24
2/20/2019,79.43
2/21/2019,79.83
2/22/2019,80.77
2/25/2019,80.38
2/26/2019,80.74
2/27/2019,80.62
2/28/2019,81.29
3/1/2019,81.65
3/4/2019,81.37
3/5/2019,81.7
3/6/2019,80.76
3/7/2019,80.45
3/8/2019,79.8
3/11/2019,80.87
3/12/2019,81.23
3/13/2019,81.6
3/14/2019,81.49
3/15/2019,81.57
3/18/2019,81.35
3/19/2019,81.91
3/20/2019,82.08
3/21/2019,82.95
3/22/2019,82.29
3/25/2019,82.35
3/26/2019,82.92
3/27/2019,82.29
3/28/2019,82.63
3/29/2019,83.17
4/1/2019,83.3
4/2/2019,83.21
4/3/2019,83.18
4/4/2019,81.85
4/5/2019,81.15
4/8/2019,80.95
4/9/2019,80.8
4/10/2019,80.82
4/11/2019,79.84
4/12/2019,79.43
4/15/2019,78.53
4/16/2019,77.56
4/17/2019,73.92
4/18/2019,73.19
4/22/2019,73.46
4/23/2019,74.6
4/24/2019,74.73
4/25/2019,76.34
4/26/2019,76.63
4/29/2019,76.78
4/30/2019,78.71
5/1/2019,78.72
5/2/2019,79.52
5/3/2019,80
5/6/2019,79.48
5/7/2019,77.9
5/8/2019,78.18
5/9/2019,78.33
5/10/2019,78.19
5/13/2019,77.17
5/14/2019,77.42
5/15/2019,77.55
5/16/2019,79.13
5/17/2019,78.72
5/20/2019,78.88
5/21/2019,79.5
5/22/2019,80.98
5/23/2019,81.02
5/24/2019,81.17
5/28/2019,80.26
5/29/2019,79.36
5/30/2019,79.68
5/31/2019,79.21
6/3/2019,80.26
6/4/2019,81.08
6/5/2019,81.69
6/6/2019,81.44
6/7/2019,82.46
6/10/2019,82.48
6/11/2019,82.98
6/12/2019,83.71
6/13/2019,82.9
6/14/2019,82.78
6/17/2019,83.3
6/18/2019,84.49
6/19/2019,85.36
6/20/2019,84.6
6/21/2019,84.57
6/24/2019,85.51
6/25/2019,85.24
6/26/2019,83.54
6/27/2019,83.83
6/28/2019,83.85
7/1/2019,84.75
7/2/2019,85.51
7/3/2019,86.9
7/5/2019,85.6
7/8/2019,84.04
7/9/2019,84.86
7/10/2019,84.82
7/11/2019,81
7/12/2019,79.73
7/15/2019,80.96
7/16/2019,81.59
7/17/2019,81.92
7/18/2019,82.69
7/19/2019,81.39
7/22/2019,81.21
